,User ID,Name,Email Address,Username,Date of Birth,Age (yrs),Gender,Location,Membership Start Date,Membership End Date,Subscription Plan,Membership Duration,Payment Information,Renewal Status,Usage Frequency,Purchase History,Favorite Genres,Devices Used,Engagement Metrics,Feedback/Ratings,Customer Support Interactions,TLD
15,16,Brittany Crane,jasonbowers@example.org,jasonbowers,1993-03-19,31,Female,Port Jeremyfurt,2024-01-03,2025-01-02,Annual,365 days,Amex,Manual,Occasional,Books,Horror,Smartphone,Low,5.0,0,Organization(.org)
16,17,Robert Gonzalez,cday@example.com,cday,1952-05-02,72,Female,Quinnberg,2024-03-25,2025-03-25,Annual,365 days,Visa,Auto-renew,Regular,Clothing,Romance,Smartphone,Low,3.3,3,Commericial(.com)
17,18,Mindy Baxter,phumphrey@example.net,phumphrey,1978-11-16,45,Female,New Brandon,2024-01-23,2025-01-22,Annual,365 days,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,High,3.9,6,Network(.net)
18,19,Michael Smith,paige55@example.org,paige55,1945-08-30,78,Female,South Michaelhaven,2024-01-27,2025-01-26,Annual,365 days,Visa,Auto-renew,Occasional,Books,Documentary,Smart TV,Low,4.4,6,Organization(.org)
19,20,Joseph Owens,christopher25@example.org,christopher25,1979-09-29,44,Female,Port Derekton,2024-03-15,2025-03-15,Annual,365 days,Mastercard,Manual,Occasional,Books,Sci-Fi,Tablet,Medium,4.6,2,Organization(.org)
20,21,Devin Wolf,jacobrobinson@example.com,jacobrobinson,1956-07-05,67,Male,New Matthewbury,2024-03-15,2025-03-15,Monthly,365 days,Visa,Manual,Regular,Electronics,Action,Tablet,Low,4.2,6,Commericial(.com)
21,22,Heidi Brock,karen47@example.org,karen47,1967-02-17,57,Male,Lake Gloriaport,2024-01-15,2025-01-14,Monthly,365 days,Amex,Manual,Regular,Clothing,Sci-Fi,Smart TV,Low,3.9,2,Organization(.org)
22,23,Tracy Hardin,ronald82@example.net,ronald82,1996-02-13,28,Female,North Audrey,2024-04-14,2025-04-14,Monthly,365 days,Visa,Auto-renew,Regular,Books,Comedy,Smart TV,High,4.3,7,Network(.net)
23,24,Maria White,castillokatie@example.com,castillokatie,1968-06-19,55,Male,West Raymond,2024-03-26,2025-03-26,Annual,365 days,Mastercard,Manual,Regular,Electronics,Drama,Smart TV,High,4.8,0,Commericial(.com)
24,25,Eric Johnson,lgreer@example.org,lgreer,1994-10-02,29,Female,North Jacob,2024-01-18,2025-01-17,Monthly,365 days,Mastercard,Auto-renew,Frequent,Electronics,Sci-Fi,Smartphone,High,4.6,4,Organization(.org)
25,26,Kenneth Jones,glen97@example.net,glen97,1986-09-22,37,Female,Shafferland,2024-02-12,2025-02-11,Monthly,365 days,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smart TV,High,3.8,7,Network(.net)
26,27,Joel Cole,nyates@example.com,nyates,2005-03-29,19,Male,West Richardbury,2024-02-19,2025-02-18,Monthly,365 days,Visa,Manual,Occasional,Electronics,Horror,Smart TV,High,3.6,0,Commericial(.com)
27,28,Brittany Noble,carol56@example.com,carol56,1976-11-05,47,Male,New John,2024-01-26,2025-01-25,Monthly,365 days,Visa,Auto-renew,Occasional,Clothing,Comedy,Smart TV,Medium,3.0,9,Commericial(.com)
28,29,Shelley Lopez,rodneyroberts@example.com,rodneyroberts,1967-07-05,56,Female,North Marymouth,2024-01-07,2025-01-06,Annual,365 days,Mastercard,Auto-renew,Regular,Clothing,Comedy,Smartphone,High,4.8,7,Commericial(.com)
29,30,Stephen Perkins,julie52@example.com,julie52,1976-09-16,47,Female,West James,2024-01-31,2025-01-30,Monthly,365 days,Amex,Manual,Regular,Books,Action,Smart TV,Medium,4.8,9,Commericial(.com)
30,31,Christopher Davis,urobinson@example.net,urobinson,1955-09-19,68,Male,Randallton,2024-02-25,2025-02-24,Annual,365 days,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Low,4.6,10,Network(.net)
31,32,Rodney Jones,zfrost@example.net,zfrost,1967-10-14,56,Female,Port Kimberly,2024-01-03,2025-01-02,Monthly,365 days,Mastercard,Manual,Occasional,Electronics,Horror,Tablet,Low,4.2,9,Network(.net)
32,33,Cheryl Johnson,louis25@example.com,louis25,1995-03-28,29,Male,Lisaton,2024-01-22,2025-01-21,Monthly,365 days,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,Low,4.3,4,Commericial(.com)
33,34,Whitney Underwood,ujones@example.com,ujones,2002-07-23,21,Female,New Jenniferport,2024-03-30,2025-03-30,Annual,365 days,Mastercard,Auto-renew,Regular,Electronics,Horror,Smartphone,Low,4.5,10,Commericial(.com)
34,35,Cheryl Bradley,jesseforbes@example.org,jesseforbes,1933-05-11,91,Male,New Jason,2024-04-05,2025-04-05,Annual,365 days,Mastercard,Manual,Occasional,Electronics,Action,Smartphone,Low,3.8,6,Organization(.org)
35,36,Carrie Smith,scottjohn@example.com,scottjohn,1991-07-03,32,Female,Clineshire,2024-01-17,2025-01-16,Monthly,365 days,Mastercard,Manual,Occasional,Books,Comedy,Tablet,High,4.8,10,Commericial(.com)
36,37,Ryan Nunez,silvamichael@example.org,silvamichael,1944-10-26,79,Female,Jacquelinefurt,2024-02-16,2025-02-15,Monthly,365 days,Visa,Auto-renew,Frequent,Books,Horror,Smart TV,Medium,4.1,6,Organization(.org)
37,38,John Wood,maxwellanthony@example.net,maxwellanthony,1975-07-23,48,Female,North Jerry,2024-01-23,2025-01-22,Annual,365 days,Amex,Manual,Frequent,Clothing,Romance,Tablet,Medium,4.5,7,Network(.net)
38,39,Rachel Holmes,maryjones@example.com,maryjones,1955-07-06,68,Female,Port Benjaminfort,2024-03-25,2025-03-25,Monthly,365 days,Visa,Auto-renew,Occasional,Electronics,Documentary,Tablet,High,3.2,8,Commericial(.com)
39,40,Terry Powell,reyesjennifer@example.com,reyesjennifer,1981-03-19,43,Female,Port Danielle,2024-02-04,2025-02-03,Annual,365 days,Visa,Auto-renew,Occasional,Clothing,Documentary,Tablet,Low,4.2,5,Commericial(.com)
40,41,Mark Hernandez,william81@example.com,william81,1975-03-07,49,Male,Port Jillianbury,2024-03-18,2025-03-18,Monthly,365 days,Visa,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Medium,4.6,8,Commericial(.com)
41,42,Angela Hall,laura84@example.org,laura84,1962-06-14,61,Female,Sherrybury,2024-03-21,2025-03-21,Monthly,365 days,Amex,Auto-renew,Occasional,Electronics,Comedy,Tablet,High,4.4,2,Organization(.org)
42,43,Laura Griffith,michelle48@example.net,michelle48,2001-01-09,23,Female,Port Charleschester,2024-03-19,2025-03-19,Annual,365 days,Amex,Auto-renew,Regular,Clothing,Documentary,Tablet,Medium,3.6,9,Network(.net)
43,44,Anita Calhoun MD,ashley86@example.com,ashley86,1945-08-27,78,Male,New Brandy,2024-03-14,2025-03-14,Annual,365 days,Mastercard,Manual,Frequent,Clothing,Romance,Smartphone,Medium,4.8,6,Commericial(.com)
44,45,Shannon Clark,traci17@example.net,traci17,1943-08-20,80,Male,East Aaronburgh,2024-03-14,2025-03-14,Monthly,365 days,Amex,Manual,Frequent,Books,Horror,Smartphone,Low,5.0,6,Network(.net)
45,46,Geoffrey Garcia,benjamin76@example.org,benjamin76,1993-10-31,30,Male,Jamesview,2024-02-03,2025-02-02,Annual,365 days,Mastercard,Auto-renew,Regular,Clothing,Sci-Fi,Smart TV,Medium,3.9,5,Organization(.org)
46,47,Jeffery Maxwell,debra51@example.org,debra51,1953-04-13,71,Female,Davisfort,2024-02-21,2025-02-20,Annual,365 days,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,Low,3.6,7,Organization(.org)
47,48,Robert Lloyd,bradleypatrick@example.org,bradleypatrick,1985-03-15,39,Male,West Tanya,2024-03-09,2025-03-09,Monthly,365 days,Mastercard,Manual,Occasional,Electronics,Romance,Smartphone,Low,4.3,2,Organization(.org)
48,49,Melissa Wells,luis09@example.net,luis09,1950-07-27,73,Female,South Kylestad,2024-03-09,2025-03-09,Monthly,365 days,Mastercard,Auto-renew,Occasional,Electronics,Horror,Smart TV,Low,3.1,8,Network(.net)
49,50,Antonio Jackson,jrandall@example.org,jrandall,1965-07-23,58,Female,East Marcusberg,2024-03-24,2025-03-24,Annual,365 days,Visa,Manual,Occasional,Books,Sci-Fi,Tablet,High,4.5,9,Organization(.org)
50,51,John Smith,dhuffman@example.net,dhuffman,1990-12-21,33,Male,New Nicoleport,2024-01-28,2025-01-27,Monthly,365 days,Visa,Manual,Occasional,Electronics,Drama,Smart TV,High,3.9,8,Network(.net)
51,52,Jeremy Lyons,richardsmicheal@example.com,richardsmicheal,1976-11-05,47,Male,North Stephen,2024-02-02,2025-02-01,Annual,365 days,Amex,Manual,Frequent,Clothing,Horror,Smartphone,High,3.9,0,Commericial(.com)
52,53,Cathy Harrington,kellygibson@example.org,kellygibson,1942-03-21,82,Male,Lake Wendyland,2024-04-14,2025-04-14,Monthly,365 days,Mastercard,Manual,Occasional,Clothing,Drama,Smartphone,Low,4.9,8,Organization(.org)
53,54,Lisa Bauer,allison13@example.org,allison13,1964-10-26,59,Male,Michaelfort,2024-01-28,2025-01-27,Annual,365 days,Amex,Manual,Occasional,Electronics,Comedy,Smart TV,High,3.6,5,Organization(.org)
54,55,Margaret Cooper,fbradley@example.org,fbradley,1964-02-19,60,Female,Lake Samantha,2024-03-13,2025-03-13,Annual,365 days,Visa,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.9,3,Organization(.org)
55,56,Robert Browning,lorettashelton@example.net,lorettashelton,1973-11-09,50,Female,East Charles,2024-02-03,2025-02-02,Annual,365 days,Mastercard,Auto-renew,Regular,Electronics,Sci-Fi,Smartphone,High,3.6,6,Network(.net)
56,57,Amanda Williams DVM,reginald05@example.org,reginald05,1953-03-27,71,Female,Bowmanland,2024-01-02,2025-01-01,Monthly,365 days,Visa,Auto-renew,Occasional,Electronics,Sci-Fi,Smart TV,Medium,3.0,2,Organization(.org)
57,58,William Clark,michael86@example.com,michael86,1961-05-19,62,Male,New Thomasville,2024-04-01,2025-04-01,Monthly,365 days,Amex,Auto-renew,Occasional,Books,Drama,Tablet,Low,4.5,10,Commericial(.com)
58,59,Julie Dean,hduffy@example.org,hduffy,2003-03-09,21,Female,Port Olivia,2024-04-07,2025-04-07,Monthly,365 days,Mastercard,Auto-renew,Frequent,Books,Comedy,Smart TV,High,3.5,10,Organization(.org)
59,60,Neil Allen,hamiltonkeith@example.org,hamiltonkeith,1968-09-05,55,Female,Port Lauramouth,2024-04-11,2025-04-11,Annual,365 days,Mastercard,Auto-renew,Occasional,Books,Action,Smartphone,Low,3.7,9,Organization(.org)
60,61,Nicole Hunter,wendy13@example.com,wendy13,1953-09-24,70,Female,Smithborough,2024-02-15,2025-02-14,Monthly,365 days,Amex,Auto-renew,Occasional,Books,Comedy,Smart TV,Medium,3.9,4,Commericial(.com)
61,62,Susan Hurst,jessicaespinoza@example.com,jessicaespinoza,1991-10-15,32,Female,Phillipsfurt,2024-03-06,2025-03-06,Annual,365 days,Visa,Manual,Occasional,Clothing,Romance,Smart TV,High,4.6,10,Commericial(.com)
62,63,Megan Bates,douglas02@example.net,douglas02,1981-08-17,42,Female,Harrisshire,2024-01-09,2025-01-08,Monthly,365 days,Mastercard,Auto-renew,Frequent,Electronics,Romance,Smartphone,Medium,3.8,3,Network(.net)
63,64,Kristen Rowe,bcollins@example.org,bcollins,1974-06-10,49,Male,South Williammouth,2024-03-09,2025-03-09,Monthly,365 days,Mastercard,Auto-renew,Frequent,Clothing,Sci-Fi,Tablet,Low,3.6,4,Organization(.org)
64,65,Jessica Flores,aguilarjohn@example.net,aguilarjohn,1948-06-30,75,Female,New Jonathan,2024-01-17,2025-01-16,Monthly,365 days,Amex,Manual,Frequent,Electronics,Comedy,Smartphone,Low,4.5,6,Network(.net)
65,66,Elizabeth Taylor,desiree88@example.com,desiree88,1973-07-13,50,Female,Jennaburgh,2024-03-29,2025-03-29,Monthly,365 days,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.6,10,Commericial(.com)
66,67,Ronald Brooks MD,arodriguez@example.net,arodriguez,2004-04-07,20,Female,Jonathanburgh,2024-02-01,2025-01-31,Annual,365 days,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,High,3.0,9,Network(.net)
67,68,Sonya Obrien,larry78@example.org,larry78,1946-02-17,78,Female,Jessicaborough,2024-03-19,2025-03-19,Annual,365 days,Visa,Manual,Frequent,Electronics,Sci-Fi,Smart TV,Low,3.4,0,Organization(.org)
68,69,Tracy Koch,timothy25@example.net,timothy25,1947-08-03,76,Female,Kristenton,2024-04-09,2025-04-09,Monthly,365 days,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,4.7,9,Network(.net)
69,70,Kendra Brooks DVM,obray@example.net,obray,1937-01-29,87,Male,Garzafort,2024-01-21,2025-01-20,Monthly,365 days,Amex,Manual,Regular,Clothing,Action,Smartphone,Low,3.2,2,Network(.net)
70,71,Janice Oliver,bethany83@example.net,bethany83,1988-12-02,35,Male,South Leslie,2024-02-27,2025-02-26,Monthly,365 days,Visa,Auto-renew,Frequent,Books,Comedy,Tablet,Low,4.1,5,Network(.net)
71,72,Jennifer Shields,aanderson@example.org,aanderson,2004-10-07,19,Male,Williamport,2024-03-03,2025-03-03,Annual,365 days,Mastercard,Auto-renew,Regular,Electronics,Drama,Smartphone,High,3.1,7,Organization(.org)
72,73,Diana Dillon,diane28@example.com,diane28,1981-04-21,43,Male,South Beverlyton,2024-01-30,2025-01-29,Monthly,365 days,Visa,Auto-renew,Regular,Electronics,Drama,Smartphone,Medium,3.5,4,Commericial(.com)
73,74,David Mata,cheyennewilson@example.net,cheyennewilson,1967-08-12,56,Male,Lake Rebecca,2024-04-08,2025-04-08,Annual,365 days,Amex,Manual,Frequent,Electronics,Drama,Tablet,Low,4.8,9,Network(.net)
74,75,Megan Vaughan,walkersusan@example.net,walkersusan,1938-02-23,86,Female,Tinaberg,2024-02-03,2025-02-02,Annual,365 days,Visa,Manual,Frequent,Books,Horror,Tablet,Medium,3.3,0,Network(.net)
75,76,Kelsey Diaz,jamesstevens@example.com,jamesstevens,1992-06-29,31,Female,Wongview,2024-02-07,2025-02-06,Annual,365 days,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Smart TV,Low,4.4,5,Commericial(.com)
76,77,Jimmy Parker,shannon08@example.org,shannon08,1967-05-15,57,Female,Ramseymouth,2024-02-18,2025-02-17,Monthly,365 days,Mastercard,Manual,Regular,Books,Documentary,Smart TV,Medium,4.9,10,Organization(.org)
77,78,Perry Fry,lucas69@example.com,lucas69,1993-12-10,30,Female,Port Jasonville,2024-03-10,2025-03-10,Monthly,365 days,Visa,Manual,Regular,Clothing,Drama,Smartphone,Low,3.8,10,Commericial(.com)
78,79,Evelyn Williams,john77@example.org,john77,1942-08-03,81,Male,Port Nicholas,2024-03-18,2025-03-18,Monthly,365 days,Mastercard,Auto-renew,Occasional,Clothing,Sci-Fi,Tablet,Low,4.1,10,Organization(.org)
79,80,Julie Sanchez,bakerzachary@example.net,bakerzachary,1994-12-11,29,Female,Michaelberg,2024-01-29,2025-01-28,Annual,365 days,Visa,Manual,Regular,Electronics,Comedy,Smartphone,Low,3.4,6,Network(.net)
80,81,Joseph Davis,greenelisa@example.com,greenelisa,1933-10-12,90,Male,Martinezfort,2024-01-07,2025-01-06,Monthly,365 days,Mastercard,Manual,Frequent,Clothing,Action,Smart TV,Low,3.3,3,Commericial(.com)
81,82,Monique Rodriguez,rrhodes@example.com,rrhodes,1940-05-03,84,Male,West Connorport,2024-03-20,2025-03-20,Monthly,365 days,Mastercard,Manual,Frequent,Electronics,Documentary,Smartphone,High,3.6,9,Commericial(.com)
82,83,Thomas Davis,brendasmith@example.com,brendasmith,1938-12-01,85,Female,Carsonhaven,2024-02-29,2025-02-28,Annual,365 days,Visa,Auto-renew,Regular,Electronics,Romance,Smartphone,High,3.1,5,Commericial(.com)
83,84,Christopher Dickerson,wgregory@example.com,wgregory,1992-05-05,32,Female,Troytown,2024-01-15,2025-01-14,Monthly,365 days,Amex,Auto-renew,Occasional,Books,Action,Smart TV,High,3.2,4,Commericial(.com)
84,85,Keith Baker,ujones@example.com,ujones,1972-07-11,51,Female,Langton,2024-02-03,2025-02-02,Annual,365 days,Amex,Manual,Occasional,Clothing,Horror,Smartphone,Medium,3.0,1,Commericial(.com)
85,86,Ashley Cortez,lisa59@example.net,lisa59,1948-06-13,75,Female,Charlesfurt,2024-02-23,2025-02-22,Annual,365 days,Visa,Manual,Frequent,Books,Action,Smart TV,Low,3.9,3,Network(.net)
86,87,Tammy Ward,shannon33@example.com,shannon33,1974-03-16,50,Female,Lake Stephanieside,2024-01-28,2025-01-27,Annual,365 days,Mastercard,Auto-renew,Frequent,Books,Horror,Smart TV,Low,4.8,4,Commericial(.com)
87,88,Mary Fernandez,richardsjimmy@example.com,richardsjimmy,1990-04-27,34,Male,Melissamouth,2024-02-10,2025-02-09,Monthly,365 days,Amex,Manual,Regular,Books,Romance,Smart TV,Low,4.4,2,Commericial(.com)
88,89,Gilbert Brown,ashleytate@example.net,ashleytate,1984-03-24,40,Male,Amyborough,2024-02-27,2025-02-26,Annual,365 days,Visa,Auto-renew,Frequent,Electronics,Romance,Smart TV,Low,4.0,2,Network(.net)
89,90,Vanessa Lutz,harriscameron@example.org,harriscameron,1951-11-13,72,Female,North Michelleburgh,2024-02-11,2025-02-10,Monthly,365 days,Mastercard,Manual,Regular,Electronics,Action,Tablet,Medium,4.7,3,Organization(.org)
90,91,Jenna Pham,marybeltran@example.org,marybeltran,1937-08-15,86,Male,Harryland,2024-01-13,2025-01-12,Monthly,365 days,Mastercard,Auto-renew,Occasional,Books,Drama,Tablet,High,3.4,9,Organization(.org)
91,92,Alicia Williams,xpierce@example.org,xpierce,1991-06-20,32,Male,Lindseyland,2024-02-22,2025-02-21,Monthly,365 days,Amex,Manual,Frequent,Books,Comedy,Tablet,Medium,4.2,2,Organization(.org)
92,93,Laura Saunders,sara71@example.net,sara71,1945-02-21,79,Male,Kevinchester,2024-02-13,2025-02-12,Annual,365 days,Mastercard,Manual,Occasional,Books,Drama,Tablet,Medium,3.9,3,Network(.net)
93,94,Connor Morris,umiller@example.org,umiller,1981-03-04,43,Female,North Melissaville,2024-02-08,2025-02-07,Annual,365 days,Mastercard,Manual,Frequent,Clothing,Drama,Smartphone,High,3.9,4,Organization(.org)
94,95,Shannon Farmer,coffeyparker@example.org,coffeyparker,1958-12-15,65,Female,Justinchester,2024-02-03,2025-02-02,Annual,365 days,Mastercard,Auto-renew,Frequent,Clothing,Drama,Tablet,High,4.6,6,Organization(.org)
95,96,Mackenzie Harris,andersonemily@example.net,andersonemily,1963-11-06,60,Female,Lake Barryland,2024-03-01,2025-03-01,Annual,365 days,Mastercard,Auto-renew,Regular,Clothing,Action,Smartphone,Medium,3.2,9,Network(.net)
96,97,Stephanie Potter,heather10@example.org,heather10,1958-05-05,66,Female,New Teresaburgh,2024-03-25,2025-03-25,Monthly,365 days,Amex,Manual,Regular,Electronics,Romance,Tablet,High,3.7,3,Organization(.org)
97,98,Mitchell Potter,fsanchez@example.net,fsanchez,1979-08-27,44,Male,South Katieburgh,2024-01-27,2025-01-26,Annual,365 days,Visa,Manual,Regular,Books,Documentary,Tablet,High,4.7,4,Network(.net)
98,99,Jonathan Rodriguez,nichole85@example.net,nichole85,1967-12-20,56,Male,East Shannonhaven,2024-02-29,2025-02-28,Monthly,365 days,Visa,Auto-renew,Occasional,Clothing,Action,Smart TV,Medium,4.7,7,Network(.net)
99,100,Jennifer Davis,zunigashelly@example.org,zunigashelly,1950-01-15,74,Female,West Nathanielton,2024-02-14,2025-02-13,Annual,365 days,Mastercard,Auto-renew,Regular,Books,Drama,Smart TV,Low,4.5,5,Organization(.org)
100,101,Darlene Gutierrez,perkinsmary@example.org,perkinsmary,1956-09-20,67,Male,North Kristenbury,2024-01-19,2025-01-18,Monthly,365 days,Amex,Auto-renew,Frequent,Clothing,Comedy,Smart TV,Low,4.7,1,Organization(.org)
101,102,Paula Perez,trevorwelch@example.net,trevorwelch,2003-03-12,21,Female,Dicksonmouth,2024-04-12,2025-04-12,Annual,365 days,Amex,Manual,Regular,Books,Sci-Fi,Tablet,Low,3.5,3,Network(.net)
102,103,Jaime Edwards,aguirrejoshua@example.com,aguirrejoshua,1990-11-27,33,Male,Bennettmouth,2024-04-08,2025-04-08,Annual,365 days,Amex,Manual,Occasional,Electronics,Horror,Tablet,Low,3.0,2,Commericial(.com)
103,104,Sherry Salinas,roachmegan@example.org,roachmegan,1998-03-27,26,Male,New Markview,2024-04-04,2025-04-04,Annual,365 days,Amex,Manual,Occasional,Clothing,Action,Smart TV,High,3.1,8,Organization(.org)
104,105,Paul Harris,ashley27@example.com,ashley27,1958-05-09,66,Male,West Robinborough,2024-01-07,2025-01-06,Monthly,365 days,Amex,Manual,Frequent,Books,Drama,Smart TV,Low,3.3,0,Commericial(.com)
105,106,James Williams,rlove@example.org,rlove,1973-10-14,50,Male,West Robert,2024-02-13,2025-02-12,Annual,365 days,Mastercard,Auto-renew,Occasional,Electronics,Comedy,Smartphone,High,3.4,10,Organization(.org)
106,107,Alan Oneal,mbarker@example.net,mbarker,1949-02-23,75,Female,South Amy,2024-02-14,2025-02-13,Annual,365 days,Mastercard,Manual,Frequent,Clothing,Documentary,Tablet,Low,3.3,7,Network(.net)
107,108,Grant Jensen,tyler29@example.com,tyler29,1944-07-10,79,Female,East Mark,2024-04-11,2025-04-11,Monthly,365 days,Amex,Manual,Regular,Clothing,Action,Tablet,Medium,3.2,7,Commericial(.com)
108,109,Traci Arellano,uwolfe@example.org,uwolfe,1974-02-15,50,Male,Leeshire,2024-01-24,2025-01-23,Annual,365 days,Visa,Auto-renew,Occasional,Clothing,Horror,Tablet,Medium,3.2,2,Organization(.org)
109,110,Richard Ramsey,akemp@example.org,akemp,1982-01-12,42,Male,West Joan,2024-01-15,2025-01-14,Monthly,365 days,Amex,Manual,Occasional,Clothing,Sci-Fi,Tablet,Medium,4.9,0,Organization(.org)
110,111,Maria Lawrence,foxshelia@example.org,foxshelia,1953-10-24,70,Male,Johnton,2024-02-27,2025-02-26,Annual,365 days,Amex,Manual,Regular,Electronics,Drama,Smartphone,High,3.4,7,Organization(.org)
111,112,Regina Ramsey,susan84@example.com,susan84,1982-05-29,41,Female,Clarkville,2024-02-17,2025-02-16,Annual,365 days,Visa,Manual,Frequent,Clothing,Horror,Tablet,Medium,4.1,2,Commericial(.com)
112,113,Lisa Reese,nataliereynolds@example.org,nataliereynolds,1989-01-13,35,Male,Collinsmouth,2024-01-22,2025-01-21,Monthly,365 days,Visa,Auto-renew,Frequent,Clothing,Sci-Fi,Smart TV,Medium,4.9,3,Organization(.org)
113,114,Bruce Pennington,angela32@example.com,angela32,1967-12-01,56,Male,South Sharonhaven,2024-02-06,2025-02-05,Annual,365 days,Amex,Auto-renew,Frequent,Books,Sci-Fi,Smartphone,High,3.4,9,Commericial(.com)
114,115,Jessica Barker,henryjennifer@example.org,henryjennifer,1981-08-03,42,Female,New Robert,2024-04-12,2025-04-12,Monthly,365 days,Visa,Manual,Occasional,Clothing,Horror,Smartphone,Medium,4.4,4,Organization(.org)
115,116,Alexis Vasquez,griffinbarbara@example.com,griffinbarbara,1980-07-20,43,Female,Wellsstad,2024-04-07,2025-04-07,Monthly,365 days,Mastercard,Auto-renew,Regular,Clothing,Action,Tablet,Low,3.8,3,Commericial(.com)
116,117,Rebecca Lucero,martindakota@example.com,martindakota,1979-02-15,45,Female,Sullivantown,2024-03-29,2025-03-29,Annual,365 days,Mastercard,Auto-renew,Frequent,Clothing,Action,Tablet,Low,4.5,6,Commericial(.com)
117,118,Mary Phillips,gregorymills@example.org,gregorymills,1945-02-08,79,Female,Hortonview,2024-01-31,2025-01-30,Monthly,365 days,Amex,Auto-renew,Regular,Electronics,Documentary,Smart TV,High,3.6,0,Organization(.org)
